id,userId,countryId,stepId,isCompleted,completedAt,notes,createdAt,updatedAt,viewedAt
1,1,0,11,1,2025-11-22 02:11:58,,2025-11-21 16:14:34,2025-11-22 02:11:58,2025-11-22 02:10:14
30001,1,0,12,1,2025-11-21 23:00:37,,2025-11-21 23:00:37,2025-11-22 04:03:51,2025-11-22 04:03:52
30002,1,0,13,1,2025-11-21 23:00:38,,2025-11-21 23:00:38,2025-11-21 23:00:38,
60001,1,0,15,1,2025-11-22 01:54:00,,2025-11-22 01:53:59,2025-11-22 01:54:00,
90001,1,0,16,1,2025-11-25 05:24:18,,2025-11-25 05:24:18,2025-11-25 05:24:18,
